unit,sizen_r2,indic_is,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
PC_ENT,10_C10_18,E_AEBEUWW,MT	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,NL	4 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,NO	2 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,PL	1 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,PT	2 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,RO	0 n	: 	: 	: 	: 	: 	0 n	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,SE	2 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,SI	: 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,SK	1 	: 	: 	: 	: 	: 	0 n	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,UK	: 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AEBHM,AT	: 	: 	: 	: 	: 	: 	47 	: 	20 
PC_ENT,10_C10_18,E_AEBHM,BE	: 	: 	: 	: 	: 	: 	28 	: 	: u
PC_ENT,10_C10_18,E_AEBHM,BG	3 	: 	7 	: 	4 	: 	3 	: 	2 
PC_ENT,10_C10_18,E_AEBHM,CY	4 	: 	4 	: 	3 	: 	6 	: 	3 
PC_ENT,10_C10_18,E_AEBHM,CZ	50 	: 	47 	: 	37 	: 	30 	: 	16 
PC_ENT,10_C10_18,E_AEBHM,DE	: 	: 	20 	: 	35 	: 	42 	: 	39 
PC_ENT,10_C10_18,E_AEBHM,DK	: 	: 	: 	: 	: 	: 	67 	: 	47 
PC_ENT,10_C10_18,E_AEBHM,EA	: 	: 	23 	: 	24 	: 	23 	: 	22 
PC_ENT,10_C10_18,E_AEBHM,EE	18 	: 	7 	: 	11 	: 	7 	: 	10 
PC_ENT,10_C10_18,E_AEBHM,EL	3 	: 	12 	: 	: u	: 	7 	: 	: u
PC_ENT,10_C10_18,E_AEBHM,ES	24 	: 	20 	: 	17 	: 	16 	: 	14 
PC_ENT,10_C10_18,E_AEBHM,EU15	: 	: 	: 	: 	24 	: 	26 	: 	23 
PC_ENT,10_C10_18,E_AEBHM,EU25	: 	: 	: 	: 	: 	: 	: 	: 	20 
PC_ENT,10_C10_18,E_AEBHM,EU27	: 	: 	20 	: 	22 	: 	22 	: 	19 
PC_ENT,10_C10_18,E_AEBHM,EU28	: 	: 	20 	: 	22 	: 	22 	: 	19 
PC_ENT,10_C10_18,E_AEBHM,FI	: 	: 	46 	: 	: 	: 	34 	: 	16 
PC_ENT,10_C10_18,E_AEBHM,FR	: 	: 	: 	: 	14 	: 	20 	: 	16 
PC_ENT,10_C10_18,E_AEBHM,HR	5 	: 	5 	: 	: 	: 	22 	: 	14 
PC_ENT,10_C10_18,E_AEBHM,HU	10 	: 	24 	: 	19 	: 	22 	: 	16 
PC_ENT,10_C10_18,E_AEBHM,IE	: 	: 	32 	: 	22 	: 	41 	: 	35 
PC_ENT,10_C10_18,E_AEBHM,IT	34 	: 	27 	: 	: u	: 	17 	: 	24 
PC_ENT,10_C10_18,E_AEBHM,LT	: 	: 	: 	: 	13 	: 	21 	: 	15 
PC_ENT,10_C10_18,E_AEBHM,LU	17 	: 	5 	: 	24 	: 	24 	: 	12 
PC_ENT,10_C10_18,E_AEBHM,LV	25 	: 	25 	: 	13 	: 	14 	: 	9 
PC_ENT,10_C10_18,E_AEBHM,MK	: 	: 	1 	: 	1 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBHM,MT	: 	: 	: 	: 	: 	: 	9 	: 	1 
PC_ENT,10_C10_18,E_AEBHM,NL	60 	: 	42 b	: 	53 	: 	28 	: 	35 
PC_ENT,10_C10_18,E_AEBHM,NO	29 	: 	18 	: 	40 	: 	44 	: 	52 
PC_ENT,10_C10_18,E_AEBHM,PL	10 	: 	6 	: 	14 	: 	6 	: 	6 
PC_ENT,10_C10_18,E_AEBHM,PT	9 	: 	12 	: 	8 	: 	: u	: 	: u
PC_ENT,10_C10_18,E_AEBHM,RO	1 	: 	: 	: 	: 	: 	4 	: 	2 
PC_ENT,10_C10_18,E_AEBHM,SE	17 	: 	: 	: 	: 	: 	36 	: 	32 
PC_ENT,10_C10_18,E_AEBHM,SI	: 	: 	11 	: 	20 	: 	15 	: 	15 
PC_ENT,10_C10_18,E_AEBHM,SK	4 	: 	16 	: 	15 	: 	11 	: 	8 
PC_ENT,10_C10_18,E_AEBHM,UK	: 	: 	: 	: 	: 	: 	45 	: 	26 
PC_ENT,10_C10_18,E_AEBUY,AT	54 	56 	63 	59 	47 	53 	50 	35 	21 
PC_ENT,10_C10_18,E_AEBUY,BE	42 	: u	40 	30 	17 	20 	30 	: u	: u
PC_ENT,10_C10_18,E_AEBUY,BG	7 	7 	8 	6 	4 	3 	5 	4 	2 
PC_ENT,10_C10_18,E_AEBUY,CY	35 	43 	19 	10 	10 	9 	24 	15 	25 
PC_ENT,10_C10_18,E_AEBUY,CZ	50 	52 	47 	46 	37 	33 	31 	28 	19 
PC_ENT,10_C10_18,E_AEBUY,DE	47 	: 	51 	42 	45 	51 	49 	48 	52 
PC_ENT,10_C10_18,E_AEBUY,DK	: 	: 	: u	68 	74 	72 	67 	69 	62 
PC_ENT,10_C10_18,E_AEBUY,EA	37 	34 	33 	30 	29 	28 	25 	28 	27 
PC_ENT,10_C10_18,E_AEBUY,EE	19 	19 	16 	28 	12 	10 	7 	15 	13 
PC_ENT,10_C10_18,E_AEBUY,EL	10 	13 	16 	: u	: u	: u	11 	: u	: u
PC_ENT,10_C10_18,E_AEBUY,ES	24 	25 	20 	19 	17 	16 	17 	21 	15 
PC_ENT,10_C10_18,E_AEBUY,EU15	39 	36 	35 	32 	32 	31 	28 	31 	28 
PC_ENT,10_C10_18,E_AEBUY,EU25	: 	: 	: 	: 	: 	: 	: 	28 	24 
PC_ENT,10_C10_18,E_AEBUY,EU27	35 	31 	29 	28 	27 	26 	24 	26 	22 
PC_ENT,10_C10_18,E_AEBUY,EU28	35 	31 	29 	28 	27 	26 	24 	26 	22 
PC_ENT,10_C10_18,E_AEBUY,FI	: 	: 	49 	41 	39 	45 	35 	35 	32 
PC_ENT,10_C10_18,E_AEBUY,FR	43 	47 	31 b	21 	14 	15 	21 	18 	20 
PC_ENT,10_C10_18,E_AEBUY,HR	17 	18 	11 	: u	: 	14 	: u	: u	23 
PC_ENT,10_C10_18,E_AEBUY,HU	31 	30 	24 	24 	20 	18 	24 	20 	17 
PC_ENT,10_C10_18,E_AEBUY,IE	45 	34 	33 	37 	42 	52 	49 	47 	59 
PC_ENT,10_C10_18,E_AEBUY,IS	: 	: 	: 	64 	: u	71 	: 	: 	: 
PC_ENT,10_C10_18,E_AEBUY,IT	37 	34 	30 	30 	34 	30 	19 	27 	26 
PC_ENT,10_C10_18,E_AEBUY,LT	25 	20 	19 	20 	14 	11 	23 	21 	17 
PC_ENT,10_C10_18,E_AEBUY,LU	29 	49 	21 	43 	41 	49 	42 	40 	28 
PC_ENT,10_C10_18,E_AEBUY,LV	: u	32 	27 	24 	14 	17 	16 	9 	10 
PC_ENT,10_C10_18,E_AEBUY,MK	: 	1 	2 	3 	3 	2 	: u	4 	: 
PC_ENT,10_C10_18,E_AEBUY,MT	: 	: 	10 	22 	7 	11 	16 	13 	5 
PC_ENT,10_C10_18,E_AEBUY,NL	60 	55 	43 b	60 	54 	: u	28 	44 	36 
PC_ENT,10_C10_18,E_AEBUY,NO	53 	39 	46 	36 	45 	30 	53 	54 	55 
PC_ENT,10_C10_18,E_AEBUY,PL	26 	28 	13 	18 	14 	13 	8 	10 	: u
PC_ENT,10_C10_18,E_AEBUY,PT	17 	15 	13 	16 	10 	14 	: u	: u	8 
PC_ENT,10_C10_18,E_AEBUY,RO	10 	8 	9 	: u	8 	6 	5 	4 	3 
PC_ENT,10_C10_18,E_AEBUY,RS	: 	: 	: 	36 	: 	: 	: 	: 	: 
PC_ENT,10_C10_18,E_AEBUY,SE	51 	35 	37 	41 	36 	46 	37 	62 	56 
PC_ENT,10_C10_18,E_AEBUY,SI	: 	14 	13 	15 	22 	19 	19 	15 	17 
PC_ENT,10_C10_18,E_AEBUY,SK	12 	16 	17 	11 	18 	9 	14 	10 	8 
PC_ENT,10_C10_18,E_AEBUY,TR	: 	: 	: u	: 	: 	: 	: 	10 	: 
PC_ENT,10_C10_18,E_AEBUY,UK	53 	43 	41 	45 	56 	52 	45 	51 	27 
PC_ENT,10_C10_18,E_AEBWW,AT	: 	: 	: 	: 	: 	: 	4 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,BE	: 	: 	: 	: 	: 	: 	4 	: 	: u
PC_ENT,10_C10_18,E_AEBWW,BG	0 n	: 	2 	: 	0 n	: 	: u	: 	0 n
PC_ENT,10_C10_18,E_AEBWW,CY	3 	: 	7 	: 	3 	: 	8 	: 	8 
PC_ENT,10_C10_18,E_AEBWW,CZ	6 	: 	4 	: 	5 	: 	2 	: 	1 
PC_ENT,10_C10_18,E_AEBWW,DE	: 	: 	2 	: 	2 	: 	4 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,DK	: 	: 	: 	: 	: 	: 	12 	: 	6 
PC_ENT,10_C10_18,E_AEBWW,EA	: 	: 	4 	: 	4 	: 	3 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,EE	4 	: 	1 	: 	1 	: 	1 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,EL	1 	: 	5 	: 	: u	: 	2 	: 	: u
PC_ENT,10_C10_18,E_AEBWW,ES	3 	: 	3 	: 	3 	: 	2 	: 	1 
PC_ENT,10_C10_18,E_AEBWW,EU15	: 	: 	: 	: 	4 	: 	4 	: 	3 
PC_ENT,10_C10_18,E_AEBWW,EU25	: 	: 	: 	: 	: 	: 	: 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,EU27	: 	: 	3 	: 	3 	: 	3 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,EU28	: 	: 	3 	: 	3 	: 	3 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,FI	: 	: 	11 	: 	: 	: 	8 	: 	: u
PC_ENT,10_C10_18,E_AEBWW,FR	: 	: 	: 	: 	2 	: 	2 	: 	1 
PC_ENT,10_C10_18,E_AEBWW,HR	2 	: 	1 	: 	: 	: 	7 	: 	4 
PC_ENT,10_C10_18,E_AEBWW,HU	2 	: 	0 n	: 	2 	: 	2 	: 	1 
PC_ENT,10_C10_18,E_AEBWW,IE	: 	: 	11 	: 	10 	: 	13 	: 	11 
PC_ENT,10_C10_18,E_AEBWW,IT	6 	: 	5 	: 	: u	: 	4 	: 	3 
PC_ENT,10_C10_18,E_AEBWW,LT	: 	: 	: 	: 	3 	: 	6 	: 	6 
PC_ENT,10_C10_18,E_AEBWW,LU	7 	: 	4 	: 	5 	: 	2 	: 	4 
PC_ENT,10_C10_18,E_AEBWW,LV	6 	: 	6 	: 	2 	: 	2 	: 	1 
PC_ENT,10_C10_18,E_AEBWW,MK	: 	: 	0 n	: 	1 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBWW,MT	: 	: 	: 	: 	: 	: 	8 	: 	0 
PC_ENT,10_C10_18,E_AEBWW,NL	5 	: 	4 b	: 	5 	: 	3 	: 	9 
PC_ENT,10_C10_18,E_AEBWW,NO	2 	: 	2 	: 	3 	: 	4 	: 	6 
PC_ENT,10_C10_18,E_AEBWW,PL	2 	: 	1 	: 	: u	: 	: u	: 	1 
PC_ENT,10_C10_18,E_AEBWW,PT	2 	: 	3 	: 	3 	: 	: u	: 	: u
PC_ENT,10_C10_18,E_AEBWW,RO	0 n	: 	: 	: 	: 	: 	0 n	: 	0 n
PC_ENT,10_C10_18,E_AEBWW,SE	2 	: 	: 	: 	: 	: 	7 	: 	4 
PC_ENT,10_C10_18,E_AEBWW,SI	: 	: 	1 	: 	5 	: 	3 	: 	2 
PC_ENT,10_C10_18,E_AEBWW,SK	1 	: 	1 	: 	3 	: 	0 n	: 	1 
PC_ENT,10_C10_18,E_AEBWW,UK	: 	: 	: 	: 	: 	: 	9 	: 	6 
PC_ENT,10_C10_18,E_AESBEU,AT	: 	: 	: 	: 	: 	: 	36 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,BE	: 	: 	: 	: 	11 	: 	29 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,BG	4 	: 	5 	: 	3 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,CY	10 	: 	18 	: 	9 	: 	17 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,CZ	25 	: 	19 	: 	18 	: 	16 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,DE	: 	: 	13 	: 	11 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AESBEU,DK	: 	: 	: 	: 	: 	: 	36 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,EA	: 	: 	15 	: 	13 	: 	12 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,EE	16 	: 	9 	: 	9 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,EL	4 	: 	10 	: 	: u	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,ES	14 	: 	10 	: 	7 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,EU15	: 	: 	: 	: 	13 	: 	13 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,EU27	: 	: 	13 	: 	11 	: 	11 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,EU28	: 	: 	13 	: 	11 	: 	11 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,FI	: 	: 	27 	: 	: 	: 	14 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,FR	: 	: 	: 	: 	10 	: 	11 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,HR	9 	: 	11 	: 	7 	: 	13 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,HU	6 	: 	8 	: 	7 	: 	6 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,IE	: 	: 	36 	: 	31 	: 	28 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,IT	24 	: 	18 	: 	: u	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,LT	: 	: 	: 	: 	13 	: 	17 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,LU	33 	: 	30 	: 	45 	: 	38 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,LV	16 	: 	13 	: 	7 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,MK	: 	: 	1 	: 	3 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AESBEU,MT	: 	: 	: 	: 	: 	: 	16 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,NL	27 	: 	21 	: 	20 	: 	13 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,NO	10 	: 	8 	: 	8 	: 	14 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,PL	7 	: 	5 	: 	6 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AESBEU,PT	14 	: 	12 	: 	9 	: 	10 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,RO	1 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,SE	15 	: 	: 	: 	: 	: 	17 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,SI	: 	: 	8 	: 	10 	: 	14 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,SK	12 	: 	14 	: 	20 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBEU,UK	: 	: 	: 	: 	: 	: 	17 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,AT	: 	: 	: 	: 	: 	: 	51 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,BE	: 	: 	: 	: 	: 	: 	48 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,BG	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,CY	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,CZ	: 	: 	: 	: 	: 	: 	36 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,DE	: 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AESBHM,DK	: 	: 	: 	: 	: 	: 	78 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,EA	: 	: 	: 	: 	: 	: 	31 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,EE	: 	: 	: 	: 	: 	: 	17 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,EL	: 	: 	: 	: 	: 	: 	12 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,ES	: 	: 	: 	: 	: 	: 	27 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,EU15	: 	: 	: 	: 	: 	: 	34 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,EU27	: 	: 	: 	: 	: 	: 	29 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,EU28	: 	: 	: 	: 	: 	: 	29 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,FI	: 	: 	: 	: 	: 	: 	50 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,FR	: 	: 	: 	: 	: 	: 	33 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,HR	: 	: 	: 	: 	: 	: 	31 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,HU	: 	: 	: 	: 	: 	: 	27 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,IE	: 	: 	: 	: 	: 	: 	57 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,IT	: 	: 	: 	: 	: 	: 	19 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,LT	: 	: 	: 	: 	: 	: 	29 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,LU	: 	: 	: 	: 	: 	: 	28 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,LV	: 	: 	: 	: 	: 	: 	18 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,MK	: 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AESBHM,MT	: 	: 	: 	: 	: 	: 	13 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,NL	: 	: 	: 	: 	: 	: 	52 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,NO	: 	: 	: 	: 	: 	: 	54 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,PL	: 	: 	: 	: 	: 	: 	14 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,PT	: 	: 	: 	: 	: 	: 	17 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,RO	: 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,SE	: 	: 	: 	: 	: 	: 	48 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,SI	: 	: 	: 	: 	: 	: 	26 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,SK	: 	: 	: 	: 	: 	: 	26 	: 	: 
PC_ENT,10_C10_18,E_AESBHM,UK	: 	: 	: 	: 	: 	: 	55 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,AT	: 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,BE	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,BG	1 	: 	: 	: 	: 	: 	1 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,CY	3 	: 	: 	: 	: 	: 	9 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,CZ	8 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,DE	: 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AESBWW,DK	: 	: 	: 	: 	: 	: 	16 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,EA	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,EE	6 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,EL	3 	: 	: 	: 	: 	: 	6 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,ES	5 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,EU15	: 	: 	: 	: 	: 	: 	6 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,EU27	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,EU28	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,FI	: 	: 	: 	: 	: 	: 	9 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,FR	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,HR	3 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,HU	3 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AESBWW,IE	: 	: 	: 	: 	: 	: 	19 	: 	: 
